Open,close
616.69,599.36
612.23,617.69
610.23,609.89
603.88,610.12
602.17,598.78
623.01,603.59
591.83,605.13
579.71,599.05
601.8,572.84
620.13,605.12
627.8,623.9
628.5,625.22
620.24,630.85
607.56,619.13
607.31,604.69
581.6,606.44
596.11,580.88
575,586.78
552.55,563.46
568,577.87
575.55,576.83
583.41,589.74
601.54,571.69
602.49,589.89
599.24,617.2
664.9,629.04
665.8,672.37
680.76,663.54
681.06,670.94
678.94,673.6
703.8,684.9
667.59,709.44
699.51,677
696.41,694.4
717.96,704.74
741,738.2
719.8,729.4
741.5,719.69
704.77,744.12
717.42,718.99
719.6,714.63
728.65,739.78
743.1,738.85
770.7,732.23
712.7,762.32
685.7,701.98
677.77,677.02
677.38,683.8
687,670.97
690.3,691.62
707.71,691.05
688.37,661.75
646.62,667.93
601.75,635.62
615.64,611.29
641.87,618.71
613,640.39
667.91,630.27
675.77,662.16
684.59,670
646.6,654.87
684.29,653.16
656.87,701.81
703.35,676.88
694.09,707.94
670,693.73
699.4,699.6
700.3,668.06
608.18,673.58
600.55,563
626.06,597.95
655.8,621.44
687.99,653.2
718.28,686.44
690.11,718.43
700,675.5
726.15,682.22
711.85,742.02
662.13,698.84
762.64,714.5
795,781.3
780.9,787.38
779.09,798.15
818,796.22
801.26,816.12
812.44,811.66
843.64,804.82
855.12,849.46
869.67,863.42
845,852.23
855,849.99
877.02,854.69
844.68,872.79
814.29,839.81
830,793.53
820,835.43
870.35,864.16
891.38,883.09
855,880.8
834.31,846.64
620.24,630.85
607.56,619.13
607.31,604.69
581.6,606.44
596.11,580.88
575,586.78
552.55,563.46
568,577.87
575.55,576.83
583.41,589.74
601.54,571.69
602.49,589.89
599.24,617.2
664.9,629.04
665.8,672.37
680.76,663.54
681.06,670.94
678.94,673.6
703.8,684.9
667.59,709.44
699.51,677
696.41,694.4
717.96,704.74
741,738.2
719.8,729.4
741.5,719.69
704.77,744.12
717.42,718.99
719.6,714.63
728.65,739.78
743.1,738.85
770.7,732.23
712.7,762.32
685.7,701.98
677.77,677.02
677.38,683.8
687,670.97
690.3,691.62
707.71,691.05
688.37,661.75
646.62,667.93
601.75,635.62
615.64,611.29
641.87,618.71
613,640.39
667.91,630.27
675.77,662.16
684.59,670
646.6,654.87
684.29,653.16
656.87,701.81
703.35,676.88
694.09,707.94
670,693.73
699.4,699.6
700.3,668.06
608.18,673.58
600.55,563
626.06,597.95
655.8,621.44
687.99,653.2
718.28,686.44
690.11,718.43
700,675.5
726.15,682.22
711.85,742.02
662.13,698.84
762.64,714.5
795,781.3
780.9,787.38
779.09,798.15
818,796.22
801.26,816.12
812.44,811.66
843.64,804.82
855.12,849.46
869.67,863.42
845,852.23
855,849.99
877.02,854.69
844.68,872.79
814.29,839.81
830,793.53
820,835.43
870.35,864.16
891.38,883.09
855,880.8
834.31,846.64
855,844.99
858.74,850.45
837.8,844.55
852,826.16
843.39,845
852.76,854.41
831,849.44
849.4,811.19
856,880.02
777.63,816.04
758.49,755.98
723.66,735.11
719.46,729.77
699.99,705.67
672,694.78
661,665.99
674.51,663.69
642.99,661.77
632.2,645.98
648,640.34
666.24,649.86
668.9,695
628.19,655.9
628.23,622.77
643.28,633.25
619,639.83
615.01,609.99
574.37,627.07
653.69,604.48
625.51,649.88
604.92,641.76
591.01,599.04
590.02,593.38
556.44,568.82
597.59,584.76
602.21,567.6
581.16,585.76
550.06,574
540.4,555.38
503.5,521.85
497.99,489.61
492,499.27
448.35,486.64
460.17,441.61
408.93,408.09
410.85,408.5
415.05,411.76
416.45,417.13
420.09,410.36
439.5,421.26
436.1,429.95
428.3,438.09
430.62,420.98
409.73,423.9
394,400.51
406.9,388.04
409.96,410.83
416.48,406.02
423.76,424.68
411.63,420.28
421.84,420.63
441.92,425.79
422.7,422.64
431.75,421.94
446.24,430.83
454.44,439.67
450.31,448.88
449.78,461.3
443.35,446.65
442,442.3
430.13,434
438.44,425.92
419.87,425.3
423.79,413.98
423.35,425.68
421.39,415.09
440.76,448.16
421.32,429.01
416,419.07
424.62,421.2
393.47,407.34
363.8,387.79
405.16,380.36
429.6,424.23
453.13,449.39
447.94,442.15
415.6,423.43
439.87,441.76
436.56,449.76
380.95,419.62
381.94,372.72
386.21,371.34
356.6,366.28
356,330.21
402.81,418.32
407.23,407
478.99,447.37
502.14,475.05
444.61,498.32
459.02,442.68
436.09,447.75
412,430.63
394.98,404.67
425.26,402.84
408.95,410
372.14,400.37
373,375.71
379.8,377.42
303,286.15
297.6,297.5
300.2,299.82
300.8,295.3
287,307.92
283.2,283.4
335.79,302.61
319.8,318.47
327.99,313.67
303.8,328.6
302.69,300.17
295.43,300.13
308.6,309.2
311.2,303.36
331.8,299.41
279.2,308.93
